,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
598,DECATUR PLAYGROUND,BROOKLYN     ,1.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,GOLCONDA PLAYGROUND,BROOKLYN     ,1.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,DRY DOCK PLAYGROUND,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,MAPLE GROVE PARK,QUEENS       ,1.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,UNNAMED PARK ON RIVERSIDE DRIVE,MANHATTAN    ,1.494,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,MARX BROTHERS PLAYGROUND,MANHATTAN    ,1.486,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,BREVOORT PLAYGROUND,BROOKLYN     ,1.485,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,PLAYGROUND SIXTY TWO LXII,QUEENS       ,1.48,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,TALL OAK PLAYGROUND,QUEENS       ,1.48,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,FRONTERA PARK,QUEENS       ,1.47,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,COLDEN PLAYGROUND,QUEENS       ,1.466,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.451,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
610,PULASKI PARK,BRONX        ,1.45,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.441,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,DUNBAR PLAYGROUND,BRONX        ,1.44,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
613,PLAYGROUND TWENTY ONE,QUEENS       ,1.439,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,PROSPECT PLAYGROUND,BRONX        ,1.438,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,WOODS PLAYGROUND,BROOKLYN     ,1.438,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,GLENWOOD PLAYGROUND,BROOKLYN     ,1.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
617,SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
618,ALMEDA PLAYGROUND,QUEENS       ,1.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,GAETA PARK,STATEN ISLAND,1.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,MALL FORTY TWO XLII,QUEENS       ,1.429,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,NORELLI-HARGREAVES PLAYGROUND,QUEENS       ,1.427,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,BILDERSEE PLAYGROUND,BROOKLYN     ,1.416,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,PULASKI PLAYGROUND,BROOKLYN     ,1.416,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,MACDONALD PARK,QUEENS       ,1.415,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,OWEN F. DOLEN PARK,BRONX        ,1.4,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
626,VAN DYKE PLAYGROUND,BROOKLYN     ,1.398,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,WILLIAMSBRIDGE SQUARE,BRONX        ,1.395,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,PEOPLE'S PARK,BRONX        ,1.394,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,DOME PLAYGROUND,BROOKLYN     ,1.385,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
630,RUSSELL PEDERSEN PLAYGROUND,BROOKLYN     ,1.384,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,ST. CATHERINE'S PARK,MANHATTAN    ,1.383,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
632,HOWARD VON DOHLEN PLAYGROUND,QUEENS       ,1.381,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
633,NAUTILUS PLAYGROUND BROOKLYN,BROOKLYN     ,1.38,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,HAVEN AVENUE,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,ARCILLA PLAYGROUND,BRONX        ,1.377,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
636,FOUNTAIN OF YOUTH PLAYGROUND,BRONX        ,1.375,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,LIEUTENANT JOHN H. MARTINSON PLAYGROUND,STATEN ISLAND,1.375,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,MARTINEZ PLAYGROUND,BROOKLYN     ,1.373,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,HILLSIDE PARK BROOKLYN,BROOKLYN     ,1.371,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,PLAYGROUND ONE FORTY,QUEENS       ,1.37,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,LT. LIA PLAYGROUND,STATEN ISLAND,1.37,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,CRACK IS WACK PLAYGROUND,MANHATTAN    ,1.369,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,CASTLE HILL PLAYGROUND,BRONX        ,1.368,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,ADAM YAUCH PARK,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
645,HOPE BALLFIELD,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,DR. RONALD MCNAIR PARK,BROOKLYN     ,1.361,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,ADMIRAL FARRAGUT PLAYGROUND,BRONX        ,1.359,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,MCDONALD PLAYGROUND STATEN ISLAND,STATEN ISLAND,1.352,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,UNNAMED PARK ON VANDALIA AVENUE,BROOKLYN     ,1.351,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,FRESH MEADOWS PLAYGROUND,QUEENS       ,1.35,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,PLAYGROUND EIGHTY LXXX,QUEENS       ,1.35,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,PRINTER'S PARK,BRONX        ,1.341,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,RENAISSANCE PLAYGROUND,MANHATTAN    ,1.34,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
654,CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,BROOKLYN     ,1.336,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,REMSEN PLAYGROUND,BROOKLYN     ,1.333,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,MARC AND JASON'S PLAYGROUND,BROOKLYN     ,1.326,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,VETERANS PARK STATEN ISLAND,STATEN ISLAND,1.324,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,LYONS SQUARE PLAYGROUND,BRONX        ,1.322,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
659,AGNES HAYWOOD PLAYGROUND,BRONX        ,1.32,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
660,MARION HOPKINSON PLAYGROUND,BROOKLYN     ,1.32,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
661,AMPERE PLAYGROUND,QUEENS       ,1.318,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
662,POTOMAC PLAYGROUND,BROOKLYN     ,1.315,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,DETECTIVE JOSEPH MAYROSE PARK,BROOKLYN     ,1.314,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,PAUL RAIMONDA PLAYGROUND,QUEENS       ,1.31,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,PRALL PLAYGROUND,STATEN ISLAND,1.307,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
666,HORACE HARDING PLAYGROUND,QUEENS       ,1.304,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,DEAN PLAYGROUND,BROOKLYN     ,1.3,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0
668,SEVEN GABLES PLAYGROUND,QUEENS       ,1.297,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,TRIBOROUGH BRIDGE PLAYGROUND B,QUEENS       ,1.295,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,LITTLE FLOWER PLAYGROUND,MANHATTAN    ,1.294,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,DONGAN PLAYGROUND,STATEN ISLAND,1.293,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,BUSHWICK PLAYGROUND ON FLUSHING AVENUE,BROOKLYN     ,1.29,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,SAMUEL H. YOUNG PARK,BRONX        ,1.285,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,EAST RIVER PLAYGROUND,MANHATTAN    ,1.285,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
675,SPACE TIME PLAYGROUND,BRONX        ,1.28,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,BOWNE PLAYGROUND,QUEENS       ,1.28,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
677,RUDD PLAYGROUND,BROOKLYN     ,1.278,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,WILLOW LAKE PLAYGROUND,QUEENS       ,1.277,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,MURPHY'S BROTHER'S PLAYGROUND,MANHATTAN    ,1.275,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
680,COONEY GRAUER FIELD,BRONX        ,1.274,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,WAGNER PLAYGROUND,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,EMERALD PLAYGROUND,QUEENS       ,1.265,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,PELHAM BAY LITTLE LEAGUE,BRONX        ,1.26,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
684,CHARLIE'S PLACE,BROOKLYN     ,1.26,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,GREENE PLAYGROUND,BROOKLYN     ,1.259,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
686,TANAHEY PLAYGROUND,MANHATTAN    ,1.254,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,ALBERT J. PARHAM PLAYGROUND,BROOKLYN     ,1.253,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,PARKSIDE PLAYGROUND BROOKLYN,BROOKLYN     ,1.252,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,PLAYGROUND NINETY,QUEENS       ,1.25,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
690,CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,STATEN ISLAND,1.25,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,NEPTUNE PLAYGROUND,BROOKLYN     ,1.243,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,HECKSCHER PLAYGROUND,BROOKLYN     ,1.24,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
693,ANNUNCIATION PARK,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,QUEENSBORO OVAL,MANHATTAN    ,1.239,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,GRASSMERE PLAYGROUND,QUEENS       ,1.239,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,GONZALO PLASENCIA PLAYGROUND,BROOKLYN     ,1.236,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,RIENZI PLAYGROUND,BRONX        ,1.23,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
698,PATRICK O'ROURKE PARK,BROOKLYN     ,1.23,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,ROEBLING PLAYGROUND,BROOKLYN     ,1.23,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,FRESH MEADOWS PARK,QUEENS       ,1.23,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,HOWARD BENNETT PLAYGROUND,MANHATTAN    ,1.228,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,STANLEY ISAACS PLAYGROUND,MANHATTAN    ,1.227,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,CHAPPETTO SQUARE,QUEENS       ,1.226,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,BRIGHTON PLAYGROUND,BROOKLYN     ,1.225,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,NELSON PLAYGROUND,BRONX        ,1.222,ONE ACRE OR LARGER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
706,SHEEPSHEAD BAY PIERS,BROOKLYN     ,1.22,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,ELEANOR ROOSEVELT PLAYGROUND,BROOKLYN     ,1.211,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,BAYVIEW PLAYGROUND,BROOKLYN     ,1.21,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,BAYSIDE PLAYGROUND,QUEENS       ,1.21,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,FRANCIS LEWIS PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,MURRAY HILL PLAYGROUND,QUEENS       ,1.206,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,MAGENTA PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
713,TIFFANY PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,MAURICE A FITZGERALD PLAYGROUND,QUEENS       ,1.201,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,DANIEL BOONE PLAYGROUND,BRONX        ,1.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,HILTON HOLIDAY GARDENS,QUEENS       ,1.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,HATTIE CARTHAN PLAYGROUND,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
718,KOREAN WAR VETERANS PLAZA,BROOKLYN     ,1.195,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,STROUD PLAYGROUND,BROOKLYN     ,1.194,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,TILDEN PLAYGROUND,BROOKLYN     ,1.19,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
721,LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,SOUTH OXFORD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,UNDERWOOD PARK,BROOKLYN     ,1.187,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,GROVE HILL PLAYGROUND,BRONX        ,1.186,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,LA GUARDIA PLAYGROUND,BROOKLYN     ,1.179,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,STATEN ISLAND,1.178,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,BELMONT PLAYGROUND BROOKLYN,BROOKLYN     ,1.177,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,STEUBEN PLAYGROUND,BROOKLYN     ,1.171,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,THE CYCLONE,BROOKLYN     ,1.17,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,WILLIAM SHERIDAN PLAYGROUND,BROOKLYN     ,1.17,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,OAKLAND GARDENS,QUEENS       ,1.166,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,UNIVERSITY PLACE,BROOKLYN     ,1.161,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,EHRENREICH-AUSTIN PLAYGROUND,QUEENS       ,1.161,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,HARDING PARK BEAUTIFICATION PROJECT,BRONX        ,1.16,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,HILLSIDE PARK QUEENS,QUEENS       ,1.16,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
736,SITTING AREA AT HOYT AVENUE,QUEENS       ,1.16,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
737,CUYLER GORE PARK,BROOKLYN     ,1.158,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
738,BATH PLAYGROUND,BROOKLYN     ,1.157,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
739,POLICE OFFICER NICHOLAS DEMUTIIS PARK,QUEENS       ,1.151,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
740,"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",QUEENS       ,1.15,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,RAPPAPORT PLAYGROUND,BROOKLYN     ,1.148,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,EAST SPRINGFIELD PLAYGROUND,QUEENS       ,1.146,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,WILLETS POINT PLAYGROUND,QUEENS       ,1.145,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,TOAD HALL PLAYGROUND,STATEN ISLAND,1.145,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,SEASIDE PLAYGROUND,QUEENS       ,1.144,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,CORPORAL JOHN A. SERAVALLI PLAYGROUND,MANHATTAN    ,1.143,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0
747,POPPENHUSEN PLAYGROUND,QUEENS       ,1.14,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,QUEENS       ,1.14,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,SOBEL COURT PARK,STATEN ISLAND,1.137,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,UNNAMED PARK ON SOUNDVIEW AVENUE,BRONX        ,1.13,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,D'EMIC PLAYGROUND,BROOKLYN     ,1.13,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,FIDLER-WYCKOFF HOUSE PARK,BROOKLYN     ,1.13,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,WESTBOURNE PLAYGROUND,QUEENS       ,1.13,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,PRESCOTT PLAYGROUND,STATEN ISLAND,1.124,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,LOPEZ PLAYGROUND,STATEN ISLAND,1.115,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,HUGH J. GRANT CIRCLE,BRONX        ,1.11,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,P.S. 29 BALL FIELD,BRONX        ,1.107,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,PENA HERRERA PARK,BROOKLYN     ,1.107,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,MENTONE PLAYGROUND,QUEENS       ,1.102,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,MIDDLETON PLAYGROUND,BROOKLYN     ,1.101,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
761,DE HOSTOS PLAYGROUND,BROOKLYN     ,1.1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,SARATOGA BALLFIELDS,BROOKLYN     ,1.095,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,ROBERT MOSES PLAYGROUND,MANHATTAN    ,1.093,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,STOCKTON PLAYGROUND,BROOKLYN     ,1.089,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,JACOB'S LADDER PLAYGROUND,BROOKLYN     ,1.085,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.085,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,UNNAMED PARK ON HAMILTON AVENUE,BROOKLYN     ,1.08,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,LATIMER PLAYGROUND,QUEENS       ,1.076,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,UNNAMED PARK ON MELROSE AVENUE,BRONX        ,1.075,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,MARLBORO PLAYGROUND,BROOKLYN     ,1.072,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,NORTH ROCHDALE PLAYGROUND,QUEENS       ,1.071,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,JEROME PLAYGROUND,BROOKLYN     ,1.068,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,GREAT KILLS PARK AT HILLCREST AVENUE,STATEN ISLAND,1.065,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
