,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
207,GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,CAPTAIN TILLY PARK,QUEENS       ,9.16,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
210,HARVEY PARK,QUEENS       ,9.154,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,MSGR. MCGOLRICK PARK,BROOKLYN     ,9.134,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,BUSHWICK INLET PARK,BROOKLYN     ,9.01,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
213,HENRY HUDSON PARK,BRONX        ,8.972,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,FRANK PRINCIPE PARK,QUEENS       ,8.899,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,CASTLE HILL PARK,BRONX        ,8.834,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,ROCHDALE PARK,QUEENS       ,8.833,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,ABE STARK SKATING RINK,BROOKLYN     ,8.807,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
218,CITY HALL PARK,MANHATTAN    ,8.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
219,EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.761,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,CROTONA PARKWAY MALLS,BRONX        ,8.75,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,CONEY ISLAND CREEK PARK,BROOKLYN     ,8.663,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,MILL ROCK PARK,MANHATTAN    ,8.639,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.595,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
